sales_order_id,customer_id,order_date,status
10000,41,2023-08-17,Invoiced
10001,42,2023-09-18,Open
10002,14,2023-06-13,Released
10003,11,2023-10-28,Open
10004,18,2023-10-30,Open
10005,12,2023-10-14,Invoiced
10006,23,2023-01-10,Invoiced
10007,12,2023-07-14,Released
10008,13,2023-04-28,Open
10009,25,2023-09-27,Open
10010,45,2023-03-21,Open
10011,19,2023-04-03,Released
10012,46,2023-09-23,Released
10013,36,2023-11-28,Released
10014,45,2023-12-16,Released
10015,8,2023-12-27,Released
10016,29,2023-09-14,Invoiced
10017,32,2023-05-13,Open
10018,44,2023-10-03,Open
10019,18,2023-09-21,Open
10020,6,2023-06-20,Open
10021,18,2023-01-01,Open
10022,19,2023-11-09,Open
10023,22,2023-03-05,Open
10024,37,2023-10-11,Open
10025,32,2023-05-01,Invoiced
10026,41,2023-04-17,Open
10027,3,2023-06-24,Invoiced
10028,28,2023-07-23,Released
10029,10,2023-06-14,Open
10030,35,2023-11-01,Released
10031,29,2023-04-30,Released
10032,15,2023-02-13,Released
10033,33,2023-11-08,Invoiced
10034,7,2023-06-05,Released
10035,12,2023-07-26,Released
10036,49,2023-04-18,Released
10037,30,2023-09-08,Open
10038,21,2023-11-30,Open
10039,31,2023-05-10,Invoiced
10040,24,2023-10-20,Invoiced
10041,20,2023-01-20,Open
10042,37,2023-10-09,Invoiced
10043,4,2023-10-12,Open
10044,28,2023-01-01,Released
10045,44,2023-04-29,Released
10046,20,2023-02-04,Invoiced
10047,24,2023-07-17,Open
10048,50,2023-09-02,Open
10049,49,2023-02-28,Invoiced
10050,32,2023-11-21,Open
10051,41,2023-06-10,Released
10052,36,2023-06-28,Invoiced
10053,34,2023-07-25,Invoiced
10054,36,2023-01-12,Open
10055,2,2023-10-03,Invoiced
10056,15,2023-06-30,Open
10057,34,2023-08-30,Open
10058,36,2023-08-04,Open
10059,6,2023-09-08,Open
10060,39,2023-10-26,Open
10061,42,2023-05-06,Invoiced
10062,12,2023-08-05,Released
10063,3,2023-11-02,Released
10064,45,2023-10-12,Invoiced
10065,18,2023-07-04,Invoiced
10066,40,2023-02-08,Released
10067,21,2023-08-11,Released
10068,15,2023-07-03,Released
10069,33,2023-06-27,Released
10070,35,2023-10-21,Released
10071,26,2023-12-06,Open
10072,8,2023-05-31,Invoiced
10073,36,2023-05-06,Open
10074,48,2023-10-28,Released
10075,30,2023-11-04,Released
10076,23,2023-12-02,Released
10077,42,2023-08-22,Open
10078,44,2023-01-08,Open
10079,14,2023-12-07,Released
10080,14,2023-05-09,Open
10081,2,2023-09-21,Open
10082,37,2023-06-06,Released
10083,5,2023-12-18,Open
10084,38,2023-12-24,Invoiced
10085,45,2023-01-05,Invoiced
10086,41,2023-03-27,Invoiced
10087,47,2023-06-24,Invoiced
10088,14,2023-10-17,Released
10089,39,2023-07-12,Released
10090,25,2023-11-07,Released
10091,20,2023-04-29,Invoiced
10092,2,2023-08-06,Invoiced
10093,39,2023-04-24,Open
10094,6,2023-05-25,Open
10095,17,2023-01-26,Invoiced
10096,25,2023-05-16,Invoiced
10097,28,2023-10-30,Invoiced
10098,2,2023-08-20,Invoiced
10099,35,2023-03-17,Open
