entry_id,vendor_id,amount,posting_date
1,13,2065.91,2023-09-14
2,10,1568.16,2023-02-27
3,12,-2768.83,2023-01-15
4,30,2526.66,2023-06-11
5,2,-2204.48,2023-06-12
6,23,-2209.46,2023-11-16
7,3,295.8,2023-10-08
8,10,743.52,2023-10-07
9,2,640.69,2023-01-12
10,30,-3268.11,2023-10-01
11,27,3019.69,2023-09-28
12,23,-1875.2,2023-07-27
13,13,-2963.88,2023-01-27
14,13,3109.98,2023-03-13
15,18,3645.21,2023-03-01
16,3,2897.02,2023-05-25
17,27,2476.13,2023-04-03
18,7,1241.94,2023-11-05
19,14,406.86,2023-01-08
20,20,-3304.11,2023-03-20
21,29,-732.37,2023-01-27
22,30,-1018.49,2023-06-23
23,17,-1921.97,2023-02-19
24,29,1787.36,2023-07-18
25,30,-32.99,2023-12-15
26,21,-3351.63,2023-06-30
27,12,-2238.53,2023-01-24
28,25,1466.07,2023-11-12
29,16,-3390.95,2023-02-15
30,24,2809.66,2023-01-15
31,12,-38.83,2023-06-02
32,15,-155.31,2023-08-10
33,25,739.26,2023-07-25
34,10,2597.45,2023-09-30
35,30,-1217.53,2023-08-24
36,25,1424.13,2023-12-06
37,7,525.86,2023-08-16
38,20,-1863.77,2023-01-09
39,5,3029.04,2023-06-15
40,1,2379.41,2023-11-15
41,30,1267.61,2023-08-02
42,17,2804.65,2023-04-27
43,3,2938.35,2023-12-10
44,13,1666.9,2023-03-13
45,14,2696.11,2023-03-05
46,24,1579.77,2023-07-24
47,30,1441.13,2023-07-28
48,18,948.89,2023-03-13
49,4,2021.73,2023-10-04
50,18,-2731.16,2023-10-01
51,30,3046.97,2023-11-16
52,5,2974.75,2023-12-04
53,25,-3766.02,2023-04-05
54,16,2606.53,2023-06-15
55,1,-2969.04,2023-02-01
56,21,-1319.05,2023-01-11
57,14,1948.07,2023-10-28
58,15,-2713.92,2023-08-05
59,9,2543.74,2023-10-16
60,15,2657.07,2023-04-12
61,17,59.74,2023-09-24
62,25,-3948.91,2023-08-02
63,24,-1703.69,2023-06-28
64,4,935.42,2023-03-29
65,12,3849.49,2023-02-10
66,27,1054.51,2023-03-17
67,26,-1921.57,2023-02-15
68,5,1072.05,2023-06-09
69,29,319.88,2023-03-21
70,5,2238.76,2023-11-06
71,11,-3144.15,2023-03-27
72,28,2088.22,2023-04-02
73,6,330.13,2023-05-28
74,7,3703.94,2023-06-10
75,24,-1265.02,2023-07-21
76,14,1060.98,2023-08-30
77,24,3456.22,2023-12-19
78,11,-3179.92,2023-01-02
79,30,3497.83,2023-08-13
80,13,1503.09,2023-10-16
81,2,-3457.3,2023-08-21
82,25,-1592.29,2023-03-18
83,7,1665.38,2023-04-26
84,20,-3461.2,2023-06-03
85,4,657.36,2023-04-13
86,27,-1232.94,2023-07-13
87,8,967.32,2023-06-15
88,20,-3634.06,2023-12-25
89,29,2972.29,2023-03-31
90,22,3787.91,2023-06-23
91,21,3751.02,2023-05-02
92,19,1997.21,2023-05-23
93,13,-2959.31,2023-04-16
94,14,2066.11,2023-11-01
95,10,-3803.3,2023-12-26
96,11,-3823.01,2023-11-13
97,2,-1411.12,2023-05-03
98,25,-90.85,2023-01-09
99,26,2163.26,2023-09-19
100,9,1466.36,2023-03-14
101,17,-432.78,2023-12-25
102,26,-1810.99,2023-08-11
103,3,3977.0,2023-02-10
104,24,-590.55,2023-07-23
105,6,-388.9,2023-09-21
106,5,-2691.01,2023-11-24
107,5,2358.48,2023-06-27
108,22,1549.46,2023-12-14
109,15,-2233.84,2023-11-14
110,23,-3340.95,2023-03-25
111,17,1443.99,2023-11-14
112,9,1236.09,2023-04-21
113,3,-1813.92,2023-09-08
114,20,3606.91,2023-01-07
115,26,-2791.54,2023-03-25
116,17,-541.32,2023-07-27
117,29,3548.93,2023-11-10
118,27,-642.18,2023-01-22
119,10,1108.21,2023-01-03
120,3,-819.24,2023-05-07
